n_bytes, from, to, min, max, avg
1, 0, 1, 0.000304, 0.000304, 0.000304
1, 1, 0, 0.000288, 0.000304, 0.000296
2, 0, 1, 0.000280, 0.000296, 0.000288
2, 1, 0, 0.000272, 0.000280, 0.000276
4, 0, 1, 0.000272, 0.000272, 0.000272
4, 1, 0, 0.000272, 0.000280, 0.000276
8, 0, 1, 0.000288, 0.000288, 0.000288
8, 1, 0, 0.000280, 0.000280, 0.000280
16, 0, 1, 0.000272, 0.000272, 0.000272
16, 1, 0, 0.000272, 0.000280, 0.000276
32, 0, 1, 0.000272, 0.000280, 0.000276
32, 1, 0, 0.000272, 0.000272, 0.000272
64, 0, 1, 0.000272, 0.000288, 0.000280
64, 1, 0, 0.000280, 0.000288, 0.000284
128, 0, 1, 0.000280, 0.000280, 0.000280
128, 1, 0, 0.000272, 0.000280, 0.000276
256, 0, 1, 0.000272, 0.000280, 0.000276
256, 1, 0, 0.000280, 0.000280, 0.000280
512, 0, 1, 0.000272, 0.000288, 0.000280
512, 1, 0, 0.000272, 0.000272, 0.000272
1024, 0, 1, 0.000272, 0.000272, 0.000272
1024, 1, 0, 0.000272, 0.000280, 0.000276
2048, 0, 1, 0.000280, 0.000288, 0.000284
2048, 1, 0, 0.000272, 0.000288, 0.000280
4096, 0, 1, 0.000304, 0.000312, 0.000308
4096, 1, 0, 0.000296, 0.000304, 0.000300
8192, 0, 1, 0.000328, 0.000360, 0.000344
8192, 1, 0, 0.000328, 0.000368, 0.000348
16384, 0, 1, 0.000416, 0.000464, 0.000440
16384, 1, 0, 0.000392, 0.000488, 0.000440
32768, 0, 1, 0.000568, 0.000640, 0.000604
32768, 1, 0, 0.000552, 0.000640, 0.000596
65536, 0, 1, 0.000608, 0.000736, 0.000672
65536, 1, 0, 0.000632, 0.000744, 0.000688
131072, 0, 1, 0.000752, 0.000912, 0.000832
131072, 1, 0, 0.000768, 0.000920, 0.000844
262144, 0, 1, 0.001136, 0.001464, 0.001300
262144, 1, 0, 0.001120, 0.001472, 0.001296
524288, 0, 1, 0.001864, 0.002496, 0.002180
524288, 1, 0, 0.001776, 0.002512, 0.002144
1048576, 0, 1, 0.003600, 0.004560, 0.004080
1048576, 1, 0, 0.003648, 0.004616, 0.004132
2097152, 0, 1, 0.007816, 0.008712, 0.008264
2097152, 1, 0, 0.007912, 0.008840, 0.008376
4194304, 0, 1, 0.016096, 0.017000, 0.016548
4194304, 1, 0, 0.016288, 0.017200, 0.016744
8388608, 0, 1, 0.022504, 0.023728, 0.023116
8388608, 1, 0, 0.022376, 0.023616, 0.022996
